abacus	ˋæbəkəs	Sound\A\abacus.mp3	<aba-=abax-:一種計算工具>+<-us: calculus 小圓石>	一種利用小圓石幫助計算的工具	補充4
abandon	əˋbændən	Sound\A\abandon.mp3	<ab-:away>+<-band:bind綁>	ban 禁令	把自己都放棄掉
abase	əˋbes	Sound\A\abase.mp3	<base:基礎>		
abate	əˋbet	Sound\A\abate.mp3	<bat:打擊>		
abbreviate	əˋbrivɪ͵et	Sound\A\abbreviate.mp3	<-brev:brief>		
abdicate	ˋæbdə͵ket	Sound\A\abdicate.mp3	<ab-:away>+<-dic:say>	放棄說話的權利	dictator 獨裁者
abdomen	ˋæbdəmən	Sound\A\abdomen.mp3	<dome 圓頂>		
abduct	æbˋdʌkt	Sound\A\abduct.mp3	<ab-:away>+<-duct:lead>		
aberrant	æˋbɛrənt	Sound\A\aberrant.mp3	<ab-:away>+<err:walk>+<ant:ing>	一天到晚都走偏	errand 跑腿
abhor	əbˋhɔr	Sound\A\abhor.mp3	<-hor:horrible 可怕的>	形聲 [厚…]	
abide	əˋbaɪd	Sound\A\abide.mp3	<bid-:bind綁>	abide的i令人無法忍受	
abject	ˋæbdʒɛkt	Sound\A\abject.mp3	<ab-:away>+<ject: throw丟>		
abnormal	æbˋnɔrm!	Sound\A\abnormal.mp3	<ab-:away>+normal	遠離正常	
aboard	əˋbord	Sound\A\aboard.mp3			
abolish	əˋbɑlɪʃ	Sound\A\abolish.mp3	<ab-:away>+<-ol:old>	丟掉古老的東西	
aboriginal	͵æbəˋrɪdʒən!	Sound\A\aboriginal.mp3			
abort	əˋbɔrt	Sound\A\abort.mp3	<a-:not>+<-bor:born 出生>		
abound	əˋbaʊnd	Sound\A\abound.mp3	<a-:not>+<-und:wave>		
abroad	əˋbrɔd	Sound\A\abroad.mp3			
abrupt	əˋbrʌpt	Sound\A\abrupt.mp3			
abscond	æbˋskɑnd	Sound\A\abscond.mp3			
absence	ˋæbsns	Sound\A\absence.mp3	<ab-:away>+<-sence:sense>		
absorb	əbˋsɔrb	Sound\A\absorb.mp3			
abstract	ˋæbstrækt	Sound\A\abstract.mp3	<ab-:away>+<-tract:draw>	拉開->抓出最精要的部分	
absurd	əbˋsɝd	Sound\A\absurd.mp3	<ab-:away>+<-sur:super>	太超過	
abundant	əˋbʌndənt	Sound\A\abundant.mp3	<ab-:away>+<-und:wave>	像海浪一波波地流->豐富的	補充8
abuse	əˋbjuz	Sound\A\abuse.mp3	<ab-:away>+use	小孩不當使用	
abusive	əˋbjusɪv	Sound\A\abusive.mp3			
abut	əˋbʌt	Sound\A\abut.mp3	<-but:butt> 尾端->邊界->連接	[a 一個]+[but 連接詞]	
abysmal	əˋbɪzm!	Sound\A\abysmal.mp3			
abyss	əˋbɪs	Sound\A\abyss.mp3			
academy	əˋkædəmɪ	Sound\A\academy.mp3	補充9		
accede	ækˋsid	Sound\A\accede.mp3	<ac-=ad-:to>+<-ced:go>	叫你去就去	
accent	ˋæksɛnt	Sound\A\accent.mp3			
access	ˋæksɛs	Sound\A\access.mp3	<ac-=ad-:to>+<-cess:go>	能走進去	
accessible	ækˋsɛsəb!	Sound\A\accessible.mp3			
accessory	ækˋsɛsərɪ	Sound\A\accessory.mp3			
accident	ˋæksədənt	Sound\A\accident.mp3	<-cid:fall>		
acclaim	əˋklem	Sound\A\acclaim.mp3	<-claim: cry out>		
accompany	əˋkʌmpənɪ	Sound\A\accompany.mp3	<-pan:麵包>		
accord	əˋkɔrd	Sound\A\accord.mp3			
accrue	əˋkru	Sound\A\accrue.mp3	<-crue:grow>		
accumulate	əˋkjumjə͵let	Sound\A\accumulate.mp3			
accurate	ˋækjərɪt	Sound\A\accurate.mp3			
accuse	əˋkjuz	Sound\A\accuse.mp3			
ace	es	Sound\A\ace.mp3			
acerbic	əˋsɝbɪk	Sound\A\acerbic.mp3			
Achilles' heel	əˌkɪliːz ˈhiːl	Sound\A\Achilles_heel.mp3			
Achilles tendon	əˌkɪliːz ˈtendən	Sound\A\Achilles_tendon.mp3			
acid	ˋæsɪd	Sound\A\acid.mp3			
acme	ˋækmɪ	Sound\A\acme.mp3			
acne	ˋæknɪ	Sound\A\acne.mp3			
acoustic	əˋkustɪk	Sound\A\acoustic.mp3			
acoustics	əˋkustɪks	Sound\A\acoustics.mp3			
acquaint	əˋkwent	Sound\A\acquaint.mp3			
acquaintance	əˋkwentəns	Sound\A\acquaintance.mp3			
acquire	əˋkwaɪr	Sound\A\acquire.mp3			
acronym	ˋækrənɪm	Sound\A\acronym.mp3			
actor	ˋæktɚ	Sound\A\actor.mp3			
actress	ˋæktrɪs	Sound\A\actress.mp3			
acupuncture	ˋækjʊ͵pʌŋktʃɚ	Sound\A\acupuncture.mp3			
acute	əˋkjut	Sound\A\acute.mp3			
adamant	ˋædəmənt	Sound\A\adamant.mp3			
adapt	əˋdæpt	Sound\A\adapt.mp3			
addict	əˋdɪkt	Sound\A\addict.mp3			
address	əˋdrɛs	Sound\A\address.mp3			
adept	əˋdɛpt	Sound\A\adept.mp3			
adequate	ˋædəkwɪt	Sound\A\adequate.mp3			
adhere	ədˋhɪr	Sound\A\adhere.mp3			
adherent	ədˋhɪrənt	Sound\A\adherent.mp3			
adjacent	əˋdʒesənt	Sound\A\adjacent.mp3			
adjust	əˋdʒʌst	Sound\A\adjust.mp3			
administer	ədˋmɪnəstɚ	Sound\A\administer.mp3			
administration	əd͵mɪnəˋstreʃən	Sound\A\administration.mp3			
